category,contents,language,lectureLink,lectureName,lecturer,level,numOfLectures,price,rating,siteIdx,subCategory,thumbnail,totalDuration,type
,Set up ESLint to Audit Accessibility Issues in ReactUse react-axe to Audit Accessibility Issues at Runtime during DevelopmentUse the axe Browser Extension to Audit a Web Page for Accessibility IssuesUse tota11y to Visualize Accessibility IssuesUse a High Contrast Browser Extension to Find Color Contrast Accessibility IssuesChange Display Preferences on Mac to Find Color Contrast Accessibility IssuesEnable High Contrast Mode on WindowsAccess and Customize VoiceOver Settings on MacOSNavigate a Webpage with VoiceOver in SafariTest for Landmark Region Accessibility Issues in ReactDefine Landmark Regions of a web page using ARIA rolesDefine Landmark Regions of a web page using HTML5 sectioning elementsTest for Heading Level Accessibility IssuesCorrectly Define Heading Levels of a Web PageTest for Form Control Label Accessibility IssuesEnsure Form Controls have Accessible LabelsAdd Accessible Labels to Elements Whose Labels are Not Clear EnoughAdd Accessible Labels to Provide Elements with More ContextAdd an Accessible Label to an Element from the Text of Other ElementsAdd Accessible Descriptions to ElementsTest for Image Alternative Text Accessibility IssuesDefine Images with Appropriate Text AlternativesTest for Insufficient Color Contrast Accessibility IssuesUse Sufficient Color Contrast in Web Page DesignUse More than Color Alone to Convey Information in a Web PageDefine a Live Region to Ensure Dynamic Changes are Announced by Assistive TechnologiesAppropriately Set the Focus on Each Page Load of a Web ApplicationWTF are Accessible Design Patterns?,en,https://egghead.io/courses/develop-accessible-web-apps-with-react,Develop Accessible Web Apps with React,Erin Doyle,6,28,-1,4.7,8,"React,Screen Reader,ARIA,JavaScript",https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/412/thumb/AccessibleReact_1000.png,88,on
,Build a Page Layout in GatsbyCreate a React Form in GatsbyGenerate Dynamic Routes in Gatsby with Reach RouterManage Application State in Gatsby with React HooksGenerate an Access Token for Users with Twilio Serverless FunctionsConsume a Generated Twilio Token in Gatsby with React HooksRestrict Access in Gatsby with Protected RoutesConnect Video to a Room with React Hooks in GatsbyShow Video in Gatsby from Remote Participants with React HooksHandle Disconnected Participants with React Hooks and the Twilio API,en,https://egghead.io/courses/build-a-video-chat-app-with-twilio-and-gatsby,Build a Video Chat App with Twilio and Gatsby,Jason Lengstorf,6,10,-1,4.6,8,Gatsby,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/395/thumb/TwilioGatsby_Final.png,47,on
,Course IntroEnable React Concurrent ModeFetch Data with React SuspenseHandle React Suspense Errors with an Error BoundaryWrite a generic React Suspense Resource factoryRefactor data fetching with useEffect to Suspense ResourcesWhere to Position React Suspense and Error BoundariesImprove Suspense loading states with useTransitionUse CSS Transitions to Avoid a Flash of Loading StateModify Suspense Config to Avoid a Flash of Loading StateCache React Suspense ResourcesPreload Images to Improve Loading PerformanceCreate a Custom Suspending Image ComponentImplement the Fetch as you Render Approach for Improved PerformanceCreate a Custom Hook that Creates ResourcesUse SuspenseList for Coordinating Suspending ComponentsFetch Modules Eagerly for SuspenseListWrapping Up with Experimental React Suspense,en,https://egghead.io/courses/use-suspense-to-simplify-your-async-ui,Use Suspense to Simplify Your Async UI,Kent C. Dodds,6,18,-1,4.7,8,React,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/400/thumb/SuspenseAsyncUI_1000.png,77,on
,Introducing Construct Sturdy UIs with XStateHandle http request state with XStateInvoke an XState Service when Entering a StateBlock a State Transition with a GuardControl Transitions Order with Parallel StatesCommunicate between State Machines in Different ComponentsSave Previous States with a History StateExecute Code when Entering and Exiting States using Activities,en,https://egghead.io/courses/construct-sturdy-uis-with-xstate,Construct Sturdy UIs with XState,Isaac Mann,6,8,-1,4.5,8,XState,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/402/thumb/State_Machine.png,34,on
,"Build an App with React Suspense: Intro and SetupImport Components Lazily with Suspense React.lazyCatch Errors with a React Error Boundary ComponentUnderstand How React.lazy Communicates Loading Status to Suspense and Error BoundariesWrap Fetch Requests to Communicate Pending, Error and Success Status to React SuspenseSeparate API Utility Functions from React ComponentsTrack Async Requests with React's useState HookEnable Suspense Features with Experimental Concurrent Mode using ReactDOM.createRootDe-prioritize NonUser-Blocking Updates with React useTransition's startTransition FunctionBypass Receded Views with React useTransition's timeoutMs OptionDisplay Loading States Conditionally with React.useTransition's isPending BooleanDelay the Appearance of a Loading Spinner with CSS in ReactGet Previous Resource Values with React¡¯s useDeferredState HookHoist React Component StateAvoid this Common Suspense Gotcha in by Reading Data From ComponentsCoordinate Fallback Rendering with the React SuspenseList ComponentReveal Suspense Components in Order with SuspenseList's revealOrder Prop in ReactAvoid Too Many Spinners with React SuspenseList¡¯s tail PropPass React Components a useTransition-Wrapped, State-Setting, CallbackAugment React Resource JSON with Custom PropertiesExtract Reusable React Components with an As Prop, Render Props, and React.FragmentConnect a New Endpoints in a React Suspense AppProvide Suspensified Data to React Components with Context and useContext",en,https://egghead.io/courses/build-an-app-with-react-suspense,Build an App with React Suspense,Michael Chan,6,23,-1,4.5,8,React,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/399/thumb/React_Suspense_Final.png,83,on
,"Develop and Publish a Node.js CLI from ScratchCreate a Single-Command Node.js CLI with Oclif, TypeScript and Yarn WorkspacesParse Flags and Args in Node.js CLIs with Oclif and TypeScriptConvert a Single Command CLI into a Multi Command CLI with Oclif and TypeScriptCreate a Hybrid Single-Multi Command Node.js CLI with Oclif and TypeScriptDebug Node.js CLIs with the VS Code Debugger and the `Debug` moduleTest Node.js CLIs with Jest and OclifDesign Beautiful, Intuitive and Secure Node.js CLI User Input Experiences with EnquirerCreate Highly Configurable Node.js CLIs with Cosmiconfig and OclifScaffold out Files and Projects from Templates in a Node.js CLISpawn and Manage Child Processes and Node.js Streams with execaPrompt Users to Update Your Node.js CLIs with Update-NotifierStore State on Filesystem in Node.js CLIs with ConfCreate Node.js CLI's that Intelligently Adapt to Usage with FrecencyPolish Node.js CLI Output with Chalk and Ora",en,https://egghead.io/courses/build-custom-cli-tooling-with-oclif-and-typescript,Build Custom Command Line Interface (CLI) Tooling with oclif and TypeScript,Shawn Wang,6,15,-1,4.7,8,TypeScript,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/404/thumb/CustomCLIs.png,90,on
,Set up Yarn Workspaces for Gatsby Theme DevelopmentAdd Static Data to a Gatsby ThemeCreate a Data Directory in Gatsby using the onPreBootstrap lifecycleSet up to Create Data Driven Pages in GatsbyCreate Data Driven Pages in Gatsby with GraphQL and createPagesDisplay Sorted Data with useStaticQuery in GatsbyDisplay and Query Data by id with Gatsby context and useStaticQueryStyle and Format Dates in ReactConfigure a Gatsby Theme to Take OptionsMake Gatsby Themes extendable with gatsby-theme-uiUse and Override a Theme in Gatsby with Component ShadowingPublish a Gatsby Theme to npmConsume a Theme in a Gatsby ApplicationUse Component Shadowing to Override Gatsby Theme Components ,en,https://egghead.io/courses/gatsby-theme-authoring,Gatsby Theme Authoring,Jason Lengstorf,6,14,-1,4.7,8,Gatsby,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/311/thumb/EGH_GatsbyThemes_Final.png,58,on
,Create a New SSH Public and Private Key SetCopy an SSH key to a remote server using ssh-copy-idSSH into a remote serverSimplify connections with SSH config filesUse scp to securely copy files remotely over SSHConfigure local and remote port forwarding with an SSH tunnelUse SSH escape sequences and codesCheck and verify SSH fingerprintsModify server configuration to lock down incoming SSH connectionsMonitoring and auditing SSH connection attempts,en,https://egghead.io/courses/ssh-for-remote-server-authentication,SSH for Remote Server Authentication,Mark Shust,6,10,-1,4.6,8,Bash,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/240/thumb/EGH_SHHAuth_Final.png,17,on
,Set up Vue-Router and add the Root Application RouteCreate Routes in Vue and Understand the Path HierarchyAccess Route Parameters in a Vue ComponentCreate Subroutes Displaying One or More Vue Components with the children KeyCatch All Undefined Paths with a Wildcard Route in VueAdd Metadata to Vue RoutesBlock Unauthenticated Access to Pages with Vue Router Navigation GuardsProgrammatically Navigate to Routes with Vue Component MethodsUse Vue Router-Link to Navigate within ComponentsRefactor Your Router and Route Definitions into Separate Files,en,https://egghead.io/courses/a-journey-with-vue-router,A Journey with Vue-Router,Laurie Barth,6,10,-1,4.3,8,Vue.js,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/354/thumb/VueRouter.png,22,on
,Start a Virtual Reality project with React 360Write text using the React 360 Text componentUse flexbox to create layouts in React 360Assign multiple styles to a component in React 360Display images using the Image component in React 360Create a Cylinder Surface and attach a component to it in React 360Create a Flat Surface and attach a component to it in React 360Add 3D objects to a React 360 applicationCapture user interaction in React 360 with VrButton component Change 360 panorama background in React 360 appUse Prefetch component to fetch images before they are needed in React 360Add animations to React 360 componentsCreate Native Modules to extend React 360 app functionalityBuild a React 360 app for production,en,https://egghead.io/courses/vr-applications-using-react-360,VR Applications using React 360,Tomasz ¨©akomy,6,14,-1,4.5,8,React,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/272/thumb/React360-final.png,29,on
,Create a React Native App and Run it on the iOS Simulator and Android EmulatorReload the Simulator when Changes Occur in React Native AppsDisplay and Format Text in a React Native ApplicationLayout React Native Components with FlexboxStyle Components in a React Native App with StyleSheetAccept User Input with React Native TextInputWrite to the Console Log in a React Native AppUse the Debugger in a React Native AppStyle React Native Components Differently on iOS and AndroidClean Up the Folder Structure and Imports in a React Native App with Absolute PathsScroll Elements on a React Native Screen with ScrollViewDisplay a List of Items in React Native with FlatListMake a Touchable Button in React NativeFetch Data from an HTTP Server in a React Native Application using fetch or axiosDisplay Local and Remote Images in React NativeAdd Icons to a React Native App with React Native Vector IconsShow a New Screen with React Navigation and StackNavigatorCustomize the StackNavigator Header with React Navigation in a React Native AppPass Data Between Screens when Navigating with StackNavigatorAdd Bottom Tabs to a React Native App with React NavigationAdd a Modal Screen that Pops Up from the Bottom with React NavigationEnsure Text Fields Don't Get Covered by the On Screen KeyboardShow a Spinner while Submitting a Form in React Native with ActivityIndicatorSave and Retrieve Data on the Device in a React Native App with AsyncStorageChange the Splash Screen for iOS Apps built with React NativeChange the Splash Screen for Android Apps built with React NativeChange the App Icon for React Native Apps on iOSChange the App Icon for React Native Apps on AndroidRun a React Native App on an iOS DeviceRun a React Native App on an Android DeviceBuild an iOS React Native App for Uploading to the iOS App Store or TestFlightBuild an Android React Native App for the Google Play Store or for Ad Hoc Distribution,en,https://egghead.io/courses/build-a-react-native-application-for-ios-and-android-from-start-to-finish,Build a React Native Application for iOS and Android from Start to Finish,Chris Achard,6,32,-1,4.6,8,React Native,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/242/thumb/EGH_ReactTakeoutbox_.png,78,on
,Add Redux to a React applicationAdd redux-observable to an existing Redux projectDebug redux-observable with redux dev-toolsImmediately fetch data from an API on page load Fetch data on demand from an APICreate an Ajax request from User Input Debounce user input to avoid repeated Ajax requests Filter actions to exclude empty valuesHandle network errors gracefullyUse an action to cancel an Ajax RequestCombine keyboard events with regular actionsAccess values from the store within an epicSave user input to the store and access it from an EpicStore and retrieve values from LocalStorageCreate multiple Ajax requests and group the the results.Inject dependencies into EpicsTest Epics with Marble DiagramsSimulate network errors within testsTest the interaction between streams,en,https://egghead.io/courses/asynchronous-state-management-with-redux-observable-v1,Asynchronous State Management with redux-observable v1,Shane Osbourne,6,19,-1,4.8,8,redux-observable,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/248/thumb/EGH_AsyncRedux_Final.png,92,on
,"Course Overview: Modern JavaScript Tooling with ReactInitialize an npm Project and git RepositoryAdd a Project and Push Changes to GitHub with gitInstall webpack and create a default bundleExplicitly Define an Entry Point with a webpack Configuration FileControl the Output of webpack with the mode SettingTransform Modern JavaScript Features with BabelConfigure webpack to Load JavaScript Files through Babel with babel-loaderConfigure babel for React with preset-reactInject a JavaScript bundle into HTML with the HtmlWebpackPluginUpdate your Bundle with each File Save with webpack's watch ModeCreate Separate webpack Configs for Development and Production with webpack-mergeServe a webpack Bundle while Developing with webpack-dev-serverGenerate Source Maps through webpack for a Better Debugging Experience with source-mapSupport Proposed JavaScript Features with Babel PluginsAutomatically Import CSS in JavaScript with webpack using style-loader and css-loaderHot Reload a React App in Development with react-hot-loaderAvoid Duplicate Commands by Calling one NPM Script from AnotherAnalyze a Production JavaScript Bundle with webpack-bundle-analyzerExternalize Dependencies to be Loaded via CDN with webpackTarget specific browsers with babel-preset-env and the babel pollyfillAsynchronously Load webpack Bundles through Code-splitting and React SuspenseRun a Simple Test with Jest in a React AppSet Up Tests that Render a React Component with Jest and BabelSet up Testing Globals in an Application with JestConfigure Prettier to Automatically Format CodeAvoid Common JavaScript Errors with ESLint Check for Accessibility Issues in JSX with the jsx-a11y ESLint PluginRun Linting, Tests and Prettier in git Hooks with HuskyAvoid Deprecated React APIs with React.StrictModeCreate an Error Boundary for a React AppDefine Prop Types for a React Class ComponentCheck for Accessibility Issues in the Browser with react-axeCreate a New Project by Cloning the Boilerplate Project",en,https://egghead.io/courses/modern-javascript-tooling-with-react,Modern JavaScript Tooling with React,Andy Van Slaars,6,34,-1,4.8,8,"React,webpack",https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/257/thumb/EGH_JSTooling-React_Final.png,146,on
,Change a Stateful React Class Component to a Function Component with the State HookUse the React Effect Hook in Function ComponentsWrite a Custom State Hook in ReactWrite a Custom React Effect HookExtract a Custom Hook into its own Module with create-react-hookTest your Custom Hook Module with react-hooks-testing-libraryPrepare a Custom React Hook to be Published as an npm PackagePublish a Custom React Hook as an npm Package,en,https://egghead.io/courses/shareable-custom-hooks-in-react,Shareable Custom Hooks in React,Joe Previte,6,8,-1,4.4,8,React,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/313/thumb/EGH_CustomReactHooks_Final.png,30,on
,Course Introduction to Just Enough Functional Programming In JavaScriptModify Functions with Higher Order Functions in JavaScriptAvoiding Mutations in JavaScript with Immutable Data StructuresRefactor a Function to Use Currying in JavaScriptIdentify Side Effects by Comparing Pure and Impure JavaScript FunctionsCreate Reusable Functions with Partial Application in JavaScript Eliminate Anonymous JavaScript Functions with Pointfree ProgrammingBuild Up Complex Functionality by Composing Simple Functions in JavaScriptImprove JavaScript Function Usability with Proper Argument Order in Functional ProgrammingUsing the Associative Property in JavaScript Functional CompositionsDebug Functional Compositions with a Logging Side Effect in JavaScript,en,https://egghead.io/courses/just-enough-functional-programming-in-javascript,Just Enough Functional Programming in JavaScript,Kyle Shevlin,6,11,-1,4.5,8,JavaScript,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/241/thumb/Functional_Programming.png,30,on
,Only commit some of my currently modified files into the repositoryMake my git log look pretty and readableMove some commits to a separate branch that I have accidentally committed to masterUpdate my feature branch with the latest changes from masterPush a rebased local branch by using `--force-with-lease`Polish my git feature branch before merging or submitting for reviewAutomate the cleanup of my feature branch with Git AutosquashSquash all of my commits into a single one and merge into masterChange the commit message of my last commitAdd a file I¡¯ve forgotten to add to my last commitUndo my last commit and split it into two separate onesWipe a commit from my local branchUndo a commit that has already been pushed to the remote repositoryTemporarily store some work in progress because I have to jump to another branch,en,https://egghead.io/courses/productive-git-for-developers,Productive Git for Developers,Juri Strumpflohner,6,14,-1,4.5,8,git,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/247/thumb/EGH_ProductiveGitFinal.png,30,on
,Setup GreenSock as a Module with ParcelAnimate and Center an Element to a Click Event with GreenSockRotate an Element Based on Previous Values with GreenSockCreate Animation Steps with GreenSock's TimelinePause or Resume an Animation by Checking isActive with GreenSockManually Control the Animation with progress in GreenSockAnimate From a Variable Point with from and fromTo in GreenSockControl an Array of Elements with the Same Animation in GreenSockStop Animations with killTweensOf and killAll in GreenSockAnimate Between CSS Classes with GreenSockSpin Elements in 3d with GreenSockControl the Shared 3d Perspective of Multiple Elements with GreenSockLoop a Tween Forever Using Yoyo and Repeat with GreenSock,en,https://egghead.io/courses/create-amazing-animations-with-greensock,Create Amazing Animations with GreenSock,John Lindquist,6,13,-1,4.4,8,GreenSock,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/253/thumb/EGH_GreensockAnimation_Final.png,24,on
,Introduction to JavaScript Promises in DepthCreate a Promise Chain in JavaScript with Promise.prototype.then()Catch Errors in a JavaScript Promise Chain with Promise.prototype.catch()Execute Cleanup Logic in a JavaScript Promise Chain with Promise.prototype.finally()Create a Rejected Promise in JavaScript with Promise.reject()Create a Resolved Promise in JavaScript with Promise.resolve()Create a New Promise in JavaScript with the Promise ConstructorConvert a Callback-Based JavaScript Function to a Promise-Based OneWait for the Fastest JavaScript Promise to Settle with Promise.race()Wait for Multiple JavaScript Promises to Be Fulfilled with Promise.all()Wait for Multiple JavaScript Promises to Settle with Promise.allSettled()Wait for the Fastest JavaScript Promise to Be Fulfilled with Promise.any()Await a JavaScript Promise in an async Function with the await Operator,en,https://egghead.io/courses/javascript-promises-in-depth,JavaScript Promises in Depth,Marius Schulz,6,13,-1,4.7,8,JavaScript,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/185/thumb/JSPromises_Final.png,67,on
